,run,sample,assembler,reference,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events,distribution,type,algorythm
507,run1,ERR2984773,IDBA-UD,Pseudomonas_aeruginosa,0.04465757700229524,0.9876996553465452,1.0015750996231507,0.9998564055191469,1.001718940934435,0.9984466424598432,0.9236159775753329,90.0,185.0,88071.0,85510.0,6708782.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
508,run1,ERR2984773,MEGAHIT,Pseudomonas_aeruginosa,0.06901181185248656,0.9919784521658989,1.000287777471877,0.9997580626619189,1.000529842998763,0.9949629245295742,0.8762962962962964,24.0,78.0,286027.0,294763.0,6737845.0,0.0,1.0,2.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
509,run1,ERR2984773,MetaHipMer2,Pseudomonas_aeruginosa,0.00031638627687406235,0.014613983713983272,1.000977201978582,1.0,1.000977201978582,1.0,1.0,0.0,85.0,1144.0,0.0,99263.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
510,run1,ERR2984773,metaSPAdes,Pseudomonas_aeruginosa,0.05485466695522744,0.9895997397064041,1.0259729401305149,0.9999686797015176,1.0260050749157057,0.9993179551595481,0.9877845641310383,44.0,100.0,151807.0,151807.0,6721688.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
511,run1,ERR2984773,MINIA,Pseudomonas_aeruginosa,0.012415327288279574,0.955440033096154,1.0011333406475282,0.9998213345890695,1.0013122405104486,0.9994810748803065,0.973293768545994,407.0,598.0,18690.0,17851.0,6489664.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
512,run1,ERR2984773,SKESA,Pseudomonas_aeruginosa,0.049408082351711416,0.9819474318827266,1.0000007496576688,0.9999971513111091,1.0000035983568103,0.9991343833283526,0.9030154849225754,58.0,117.0,111919.0,106185.0,6669711.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
513,run1,ERR2984773,SPAdes,Pseudomonas_aeruginosa,0.10973642328921003,0.9890982917496647,1.0002912947089746,0.9999994047834282,1.0002918900992843,0.9991734343534022,0.9736077481840194,37.0,79.0,173647.0,173647.0,6718282.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
514,run1,ERR2984773,Unicycler,Pseudomonas_aeruginosa,0.12480444854711123,0.9884684636936073,0.9999557641014214,0.9999950847068847,0.9999606792012635,0.9994750251450405,0.9914658634538153,25.0,65.0,264930.0,264930.0,6714004.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
515,run1,ERR2984773,VelvetOptimiser,Pseudomonas_aeruginosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
516,run1,ERR2984773,ABySS,Salmonella_enterica,0.03297949092241477,0.9787377309629548,1.0100688133607438,0.9996632699062722,1.0104090484943469,0.9981569034225883,0.8657086223984143,118.0,213.0,44387.0,44050.0,4658543.0,2.0,1.0,2.0,Even,Genomic,Single k-mer De Bruijn graph
518,run1,ERR2984773,GATBMiniaPipeline,Salmonella_enterica,0.05947523250190241,0.9756260102955073,1.0014460352147798,0.9984635873860439,1.002987037150292,0.9974740157506424,0.6460342146189736,85.0,166.0,59024.0,59024.0,4643732.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
519,run1,ERR2984773,IDBA-UD,Salmonella_enterica,0.022045504108832697,0.9703761503239878,1.0025890155418875,0.9971045287306673,1.0055004130993188,0.9955042520583469,0.6373902706656913,175.0,305.0,29331.0,28547.0,4618744.0,0.0,1.0,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
520,run1,ERR2984773,MEGAHIT,Salmonella_enterica,0.1114097264854049,0.9808735592193365,1.0172535919458676,0.9996676377230131,1.0175918010739158,0.9985807429973634,0.9584285061671997,43.0,105.0,89627.0,94251.0,4668709.0,0.0,3.0,6.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
521,run1,ERR2984773,MetaHipMer2,Salmonella_enterica,0.0005512899217731366,0.02109881493676343,1.000657206870799,0.9989363605638283,1.0017226786158826,0.9987376414740351,0.9107843137254902,0.0,84.0,1141.0,0.0,100425.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
522,run1,ERR2984773,metaSPAdes,Salmonella_enterica,0.05149329396988831,0.9778992408418432,1.004023802935277,0.9998198592548806,1.004204701118389,0.9988235301245877,0.9586919104991394,77.0,145.0,70327.0,70327.0,4654552.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
523,run1,ERR2984773,MINIA,Salmonella_enterica,0.00919355780749645,0.7990079722741508,1.0024025295320234,0.9998326710990466,1.0025702885165293,0.9996132549435429,0.8015488867376573,0.0,1106.0,4884.0,3355.0,3803075.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
524,run1,ERR2984773,SKESA,Salmonella_enterica,0.0363592931219439,0.9689739746616731,1.0000010841119065,0.9999494829920291,1.000051603726743,0.9999381560896303,0.992955135335558,109.0,193.0,46989.0,46525.0,4612070.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
525,run1,ERR2984773,SPAdes,Salmonella_enterica,0.08225228825235632,0.9772796699655822,1.000675681050167,0.9943165991363179,1.0063954297045556,0.9952914636705927,0.5023564288700544,50.0,110.0,106595.0,106595.0,4651603.0,0.0,1.0,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
526,run1,ERR2984773,Unicycler,Salmonella_enterica,0.08743996003148068,0.9765497990859177,0.9999634261441539,0.999949227603403,1.0000141992616813,0.9998866646577428,0.9952070188740556,32.0,70.0,157800.0,157800.0,4648129.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
527,run1,ERR2984773,VelvetOptimiser,Salmonella_enterica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
528,run1,ERR2984773,ABySS,Staphylococcus_aureus,0.06548341535541677,0.9866848365811136,1.0055319899246211,0.9999232658641338,1.0056091544741086,0.9995573543425665,0.9906007355946056,48.0,80.0,53240.0,53240.0,2682579.0,0.0,1.0,2.0,Even,Genomic,Single k-mer De Bruijn graph
530,run1,ERR2984773,GATBMiniaPipeline,Staphylococcus_aureus,0.10641096374108976,0.9844165397715152,1.000739796414005,1.0,1.000739796414005,0.9999846574560899,0.999482936918304,33.0,53.0,90967.0,90967.0,2676412.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
531,run1,ERR2984773,IDBA-UD,Staphylococcus_aureus,0.02705809223254548,0.9800859208909879,1.003778749683822,0.9998142197753891,1.0039652665765482,0.9993763435776938,0.9585853885528153,112.0,174.0,26537.0,26420.0,2664638.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
532,run1,ERR2984773,MEGAHIT,Staphylococcus_aureus,0.152904611627274,0.9860448436431046,1.0005449786428802,0.9868442836760658,1.013883340252809,0.9884586332490771,0.5799056048614697,15.0,43.0,112741.0,151247.0,2680839.0,0.0,3.0,6.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
533,run1,ERR2984773,MetaHipMer2,Staphylococcus_aureus,0.0009618284671801322,0.11197081043703426,1.0013172417417813,0.99996391502316,1.0013533755551467,0.9999634963828234,0.990983606557377,0.0,247.0,1220.0,0.0,304424.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
534,run1,ERR2984773,metaSPAdes,Staphylococcus_aureus,0.0831045542485968,0.9834940671919022,1.0002905863486498,0.99996261376165,1.0003279848491196,0.9994949234320045,0.9840564558285415,30.0,49.0,76042.0,76042.0,2673904.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
535,run1,ERR2984773,MINIA,Staphylococcus_aureus,0.023957068979468733,0.9549433937280692,1.000829648254561,0.9999911485965908,1.0008385070799348,0.999936194722045,0.9931758530183727,139.0,206.0,23433.0,22986.0,2596281.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
536,run1,ERR2984773,SKESA,Staphylococcus_aureus,0.06682887177336894,0.9767333142071076,0.9999755227124751,1.0,0.9999755227124751,1.0,1.0,42.0,69.0,53152.0,53048.0,2655523.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
537,run1,ERR2984773,SPAdes,Staphylococcus_aureus,0.11371203260285863,0.9831435423241307,1.0004298619765195,1.0,1.0004298619765195,0.9999894495492737,0.9997692573933777,30.0,48.0,73613.0,73613.0,2672951.0,0.0,1.0,3.0,Even,Genomic,Multiple k-mer De Bruijn graph
538,run1,ERR2984773,Unicycler,Staphylococcus_aureus,0.3093181500525971,0.9829070391866941,0.9998458261547696,1.0,0.9998458261547696,0.999999530037147,0.9999891908543819,8.0,24.0,370057.0,370057.0,2672308.0,0.0,1.0,2.0,Even,Genomic,Multiple k-mer De Bruijn graph
539,run1,ERR2984773,VelvetOptimiser,Staphylococcus_aureus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
540,run1,ERR2984773,ABySS,Staphylococcus_aureus_plasmid1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
542,run1,ERR2984773,GATBMiniaPipeline,Staphylococcus_aureus_plasmid1,1.0244595234338014,1.0,1.0291936247435696,1.0,1.0291936247435696,0.9954001839926403,0.9954001839926403,0.0,1.0,6522.0,6522.0,6337.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
543,run1,ERR2984773,IDBA-UD,Staphylococcus_aureus_plasmid1,0.7516174846141708,0.7516174846141708,1.0062985513331935,1.0,1.0062985513331935,0.9937408721051534,0.9937408721051534,0.0,1.0,4793.0,4793.0,4763.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
544,run1,ERR2984773,MEGAHIT,Staphylococcus_aureus_plasmid1,1.011204039766451,1.0,1.015938141076219,0.9474613686534217,1.0722739466624587,0.9430463576158941,0.9430463576158941,0.0,1.0,6795.0,6795.0,6337.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
545,run1,ERR2984773,MetaHipMer2,Staphylococcus_aureus_plasmid1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
546,run1,ERR2984773,metaSPAdes,Staphylococcus_aureus_plasmid1,0.66387880700647,0.9790121508600284,1.0137008381689232,1.0,1.0137008381689232,0.99645975926363,0.9929195185272599,1.0,2.0,4237.0,4237.0,6204.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
547,run1,ERR2984773,MINIA,Staphylococcus_aureus_plasmid1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
548,run1,ERR2984773,SKESA,Staphylococcus_aureus_plasmid1,0.27615590973646836,0.7673978223133975,1.0,0.9890176937156803,1.0111042566317088,0.9879598662207357,0.9638795986622074,0.0,3.0,1672.0,1672.0,4863.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
549,run1,ERR2984773,SPAdes,Staphylococcus_aureus_plasmid1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
550,run1,ERR2984773,Unicycler,Staphylococcus_aureus_plasmid1,1.0,1.0,1.004734101309768,1.0,1.004734101309768,0.9952882048060311,0.9952882048060311,0.0,1.0,6367.0,6367.0,6337.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
551,run1,ERR2984773,VelvetOptimiser,Staphylococcus_aureus_plasmid1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
552,run1,ERR2984773,ABySS,Staphylococcus_aureus_plasmid2,0.621841155234657,0.621841155234657,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1378.0,1378.0,1378.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
554,run1,ERR2984773,GATBMiniaPipeline,Staphylococcus_aureus_plasmid2,1.0816787003610109,1.0,1.0816787003610109,1.0,1.0816787003610109,1.0,1.0,0.0,1.0,2397.0,2397.0,2216.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
555,run1,ERR2984773,IDBA-UD,Staphylococcus_aureus_plasmid2,1.0446750902527075,1.0,1.0446750902527075,1.0,1.0446750902527075,1.0,1.0,0.0,1.0,2315.0,2315.0,2216.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
556,run1,ERR2984773,MEGAHIT,Staphylococcus_aureus_plasmid2,1.0636281588447654,1.0,1.0636281588447654,1.0,1.0636281588447654,1.0,1.0,0.0,1.0,2357.0,2357.0,2216.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
557,run1,ERR2984773,MetaHipMer2,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
558,run1,ERR2984773,metaSPAdes,Staphylococcus_aureus_plasmid2,1.0248194945848375,1.0,1.0248194945848375,1.0,1.0248194945848375,0.9982386613826508,0.9982386613826508,0.0,1.0,2271.0,2271.0,2216.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
559,run1,ERR2984773,MINIA,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
560,run1,ERR2984773,SKESA,Staphylococcus_aureus_plasmid2,0.904783393501805,0.904783393501805,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2005.0,2005.0,2005.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
561,run1,ERR2984773,SPAdes,Staphylococcus_aureus_plasmid2,0.884927797833935,0.884927797833935,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1961.0,1961.0,1961.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
562,run1,ERR2984773,Unicycler,Staphylococcus_aureus_plasmid2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2216.0,2216.0,2216.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
563,run1,ERR2984773,VelvetOptimiser,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
564,run1,ERR2984773,ABySS,Staphylococcus_aureus_plasmid3,0.6531907784831273,0.6531907784831273,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1955.0,1955.0,1955.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
566,run1,ERR2984773,GATBMiniaPipeline,Staphylococcus_aureus_plasmid3,1.0564650851987971,1.0,1.0564650851987971,1.0,1.0564650851987971,1.0,1.0,0.0,1.0,3162.0,3162.0,2993.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
567,run1,ERR2984773,IDBA-UD,Staphylococcus_aureus_plasmid3,0.5639826261276312,0.9211493484797861,1.0359085963003265,1.0,1.0359085963003265,1.0,1.0,1.0,2.0,1688.0,1688.0,2757.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
568,run1,ERR2984773,MEGAHIT,Staphylococcus_aureus_plasmid3,1.047109923154026,1.0,1.047109923154026,1.0,1.047109923154026,1.0,1.0,0.0,1.0,3134.0,3134.0,2993.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
569,run1,ERR2984773,MetaHipMer2,Staphylococcus_aureus_plasmid3,0.5322418977614434,0.5322418977614434,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1593.0,1593.0,1593.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
570,run1,ERR2984773,metaSPAdes,Staphylococcus_aureus_plasmid3,1.2886735716672235,1.0,1.2886735716672235,1.0,1.2886735716672235,1.0,1.0,0.0,1.0,3857.0,3857.0,2993.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
571,run1,ERR2984773,MINIA,Staphylococcus_aureus_plasmid3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
572,run1,ERR2984773,SKESA,Staphylococcus_aureus_plasmid3,0.9295021717340461,0.9295021717340461,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2782.0,2782.0,2782.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
573,run1,ERR2984773,SPAdes,Staphylococcus_aureus_plasmid3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
574,run1,ERR2984773,Unicycler,Staphylococcus_aureus_plasmid3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2993.0,2993.0,2993.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
575,run1,ERR2984773,VelvetOptimiser,Staphylococcus_aureus_plasmid3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
576,run1,ENN,ABySS,Bacillus_subtilis,0.10626033665070148,0.9865216625054348,1.000437969225897,0.9999989982218438,1.0004389714438051,0.9999101583249156,0.9982537326464682,16.0,26.0,255341.0,255341.0,3991148.0,47.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
578,run1,ENN,GATBMiniaPipeline,Bacillus_subtilis,0.09783282254119645,0.9836615725872332,1.0,1.0,1.0,1.0,1.0,14.0,28.0,269695.0,263366.0,3979577.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
579,run1,ENN,IDBA-UD,Bacillus_subtilis,0.0847363741593805,0.98284959476498,1.0000246460773001,0.9999859170726825,1.000038729550043,0.9981533280491511,0.9300986842105263,19.0,38.0,252653.0,212969.0,3976292.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
580,run1,ENN,MEGAHIT,Bacillus_subtilis,0.09791043625084257,0.9860238471830549,0.9999844577795581,0.9999764361773864,1.0000080217911957,0.9981596678712408,0.9538606403013182,14.0,27.0,264135.0,264135.0,3989134.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
581,run1,ENN,MetaHipMer2,Bacillus_subtilis,0.09783183383151942,0.9826357862973243,1.0000243998946527,1.0,1.0000243998946527,1.0,1.0,15.0,27.0,257264.0,257264.0,3975427.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
582,run1,ENN,metaSPAdes,Bacillus_subtilis,0.2552934898164139,0.9857267399251102,0.9992973801960515,1.0,0.9992973801960515,0.9996381347921433,0.9943875866622648,9.0,18.0,343843.0,343843.0,3987932.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
583,run1,ENN,MINIA,Bacillus_subtilis,0.032648182244899925,0.9768449137190142,1.0002818826624198,1.0,1.0002818826624198,1.0,1.0,66.0,116.0,65138.0,64960.0,3951999.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
584,run1,ENN,SKESA,Bacillus_subtilis,0.0977828927025069,0.9806675125077954,1.0,1.0,1.0,1.0,1.0,17.0,30.0,256909.0,256909.0,3967464.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
585,run1,ENN,SPAdes,Bacillus_subtilis,0.19004779669756136,0.984425597990151,0.9993373788626116,1.0,0.9993373788626116,0.9994617464656081,0.9896401308615049,11.0,22.0,315046.0,315046.0,3982668.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
586,run1,ENN,Unicycler,Bacillus_subtilis,0.18989998460084678,0.9822197867007179,0.9999997483481573,1.0,0.9999997483481573,1.0,1.0,12.0,22.0,294271.0,294271.0,3973744.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
587,run1,ENN,VelvetOptimiser,Bacillus_subtilis,0.060170399169286126,0.9773353137188164,1.0002642904635655,1.0,1.0002642904635655,1.0,1.0,60.0,109.0,69914.0,69010.0,3953983.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
588,run1,ENN,ABySS,Enterococcus_faecalis,0.18946668859686117,0.9940493260682535,1.0153146942152267,1.0,1.0153146942152267,0.9999711774003073,0.9996626668594285,9.0,19.0,241090.0,241090.0,2828460.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
590,run1,ENN,GATBMiniaPipeline,Enterococcus_faecalis,0.13575633866968068,0.976931473765302,1.0005629996622003,1.0,1.0005629996622003,1.0,1.0,24.0,45.0,127741.0,127741.0,2779753.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
591,run1,ENN,IDBA-UD,Enterococcus_faecalis,0.13575598722425591,0.9760690266929829,0.9994206601449825,0.9993058800742218,1.0001148597972347,0.9944027424116684,0.7950740111623392,22.0,55.0,112536.0,118897.0,2777299.0,0.0,3.0,6.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
592,run1,ENN,MEGAHIT,Enterococcus_faecalis,0.189475123287055,0.9790879428915242,1.0000710724655577,0.9997778739486691,1.000293263658387,0.9996481336249499,0.9932287102684617,13.0,31.0,235316.0,235316.0,2785889.0,0.0,1.0,2.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
593,run1,ENN,MetaHipMer2,Enterococcus_faecalis,0.13575563577883118,0.9879443675950449,1.0005627712249594,1.0,1.0005627712249594,0.9999993221878419,0.9999688206407358,27.0,46.0,118895.0,118895.0,2811089.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
594,run1,ENN,metaSPAdes,Enterococcus_faecalis,0.23480666284294044,0.9906111354779938,1.0001553920509516,1.0,1.0001553920509516,0.9997454560456104,0.9956634865568084,9.0,21.0,238611.0,238611.0,2818677.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
595,run1,ENN,MINIA,Enterococcus_faecalis,0.045908612943313255,0.973631752672391,1.0007457503779287,1.0,1.0007457503779287,0.9999836392788194,0.9972677595628415,103.0,167.0,30453.0,30452.0,2770364.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
596,run1,ENN,SKESA,Enterococcus_faecalis,0.13570678486479193,0.9833523816753544,1.0,0.9961595835959001,1.0038552220621488,0.9957455586108757,0.7787690477655407,30.0,52.0,88301.0,87934.0,2798023.0,0.0,1.0,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
597,run1,ENN,SPAdes,Enterococcus_faecalis,0.1894529822252962,0.9884465831070025,1.0001173325824049,1.0,1.0001173325824049,0.9998885136387875,0.9982718894009217,10.0,21.0,239100.0,239100.0,2812518.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
598,run1,ENN,Unicycler,Enterococcus_faecalis,0.2347711668550414,0.9885323357906397,0.9998435701278672,1.0,0.9998435701278672,0.9999945623489943,0.9999146061445623,9.0,20.0,238501.0,238501.0,2812762.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
599,run1,ENN,VelvetOptimiser,Enterococcus_faecalis,0.045908612943313255,0.961655195488003,1.000629685639586,1.0,1.000629685639586,0.9999916685065381,0.9986919555264879,101.0,157.0,30453.0,30453.0,2736286.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
600,run1,ENN,ABySS,Escherichia_coli_plasmid,0.023471233648767804,0.09549392311398365,1.0,1.0,1.0,0.9923527275551609,0.9715447154471545,0.0,6.0,1638.0,0.0,10505.0,108.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
602,run1,ENN,GATBMiniaPipeline,Escherichia_coli_plasmid,0.14012744643522684,0.8887343532684284,1.0014012908241021,1.0,1.0014012908241021,1.0,1.0,0.0,24.0,5269.0,4651.0,97767.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
603,run1,ENN,IDBA-UD,Escherichia_coli_plasmid,0.18631541629169052,0.96022071322734,1.0001704045214,1.0,1.0001704045214,1.0,1.0,8.0,11.0,12577.0,12577.0,105631.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
604,run1,ENN,MEGAHIT,Escherichia_coli_plasmid,0.18677902315307207,0.9782559291681439,1.0001300933884683,1.0,1.0001300933884683,1.0,1.0,6.0,9.0,15523.0,12670.0,107615.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
605,run1,ENN,MetaHipMer2,Escherichia_coli_plasmid,0.1863790486059978,0.9686929013608225,1.0002064506442199,1.0,1.0002064506442199,1.0,1.0,7.0,10.0,12578.0,12578.0,106563.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
606,run1,ENN,metaSPAdes,Escherichia_coli_plasmid,0.18599725472015416,0.9631387093548592,1.000132135306554,1.0,1.000132135306554,1.0,1.0,6.0,9.0,15437.0,12657.0,105952.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
607,run1,ENN,MINIA,Escherichia_coli_plasmid,0.06264146827020099,0.8277200541783705,1.0024820163637362,1.0,1.0024820163637362,1.0,1.0,0.0,33.0,3190.0,3109.0,91055.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
608,run1,ENN,SKESA,Escherichia_coli_plasmid,0.015817175270664594,0.14013653676584217,1.0,1.0,1.0,1.0,1.0,0.0,12.0,1421.0,0.0,15416.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
609,run1,ENN,SPAdes,Escherichia_coli_plasmid,0.18599725472015416,0.9793558591725982,1.0001299472785328,1.0,1.0001299472785328,1.0,1.0,6.0,9.0,15438.0,12657.0,107736.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
610,run1,ENN,Unicycler,Escherichia_coli_plasmid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
611,run1,ENN,VelvetOptimiser,Escherichia_coli_plasmid,0.23987564427718236,0.9760924304816966,1.0035668718626893,1.0,1.0035668718626893,0.9930753695559017,0.9841297987410231,4.0,6.0,21108.0,21108.0,107377.0,835.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
